Bus,Tramo,Estación Origen,Estación Destino
8A,246,Calle 57,Flores - Areandina
8A,247,Flores - Areandina,Calle 76 - San Felipe
8A,248,Calle 76 - San Felipe,Héroes – Gelhada
8A,249,Héroes – Gelhada,Calle 85
8A,250,Calle 85,Virrey
8A,251,Virrey,Calle 100
8A,252,Calle 100,Calle 106
8A,253,Calle 106,Pepe Sierra
8A,254,Pepe Sierra,Calle 127
8A,255,Calle 127,Prado
8A,256,Prado,Alcalá
8A,257,Alcalá,Calle 142
8A,258,Calle 142,Calle 146
8A,259,Calle 146,Mazurén
8A,260,Mazurén,Calle 161
8A,261,Calle 161,Toberín
8A,262,Toberín,Portal del Norte
8A,263,Portal del Norte,Calle 187
8A,264,Calle 187,Terminal
8B,265,Terminal,Calle 187
8B,266,Calle 187,Portal del Norte
8B,267,Portal del Norte,Toberín
8B,268,Toberín,Calle 161
8B,269,Calle 161,Mazurén
8B,270,Mazurén,Calle 146
8B,271,Calle 146,Calle 142
8B,272,Calle 142,Alcalá
8B,273,Alcalá,Prado
8B,274,Prado,Calle 127
8B,275,Calle 127,Pepe Sierra
8B,276,Pepe Sierra,Calle 106
8B,277,Calle 106,Calle 100
8B,278,Calle 100,Virrey
8B,279,Virrey,Calle 85
8B,280,Calle 85,Héroes – Gelhada
8B,281,Héroes – Gelhada,Calle 76 - San Felipe
8B,282,Calle 76 - San Felipe,Flores - Areandina
8B,283,Flores - Areandina,Calle 57
8B,284,Calle 57,Calle 45 - American School Way
8B,285,Calle 45 - American School Way,Avenida 39
8B,286,Avenida 39,Calle 34
8B,287,Calle 34,Calle 22
8B,288,Calle 22,Calle 19
8B,289,Calle 19,AV. Jiménez
8B,290,AV. Jiménez,Tercer Milenio
8B,291,Tercer Milenio,Tygua - San José
8B,292,Tygua - San José,Guatoque - Veraguas
B10A,293,Portal de la 80,Carrera 90
B10A,294,Carrera 90,Avenida Cali
B10A,295,Avenida Cali,Granja - Carrera 77
B10A,296,Granja - Carrera 77,Boyacá
B10A,297,Boyacá,Avenida 68
B10A,298,Avenida 68,Carrera 53
B10A,299,Carrera 53,Carrera 47
B10A,300,Carrera 47,Calle 85
B10A,301,Calle 85,Calle 100
B10A,302,Calle 100,Alcalá
B10A,303,Alcalá,Calle 146
B10A,304,Calle 146,Toberín
B10A,305,Toberín,Portal del Norte
B10B,306,Portal del Norte,Toberín
B10B,307,Toberín,Calle 146
B10B,308,Calle 146,Alcalá
B10B,309,Alcalá,Calle 100
B10B,310,Calle 100,Calle 85
B10B,311,Calle 85,Carrera 47
B10B,312,Carrera 47,Carrera 53
B10B,313,Carrera 53,Avenida 68
B10B,314,Avenida 68,Boyacá
B10B,315,Boyacá,Granja - Carrera 77
B10B,316,Granja - Carrera 77,Avenida Cali
B10B,317,Avenida Cali,Carrera 90
B10B,318,Carrera 90,Portal de la 80
